,marina_01.png,marina_02.png,marina_03.png,marina_04.png,marina_05.png,marina_06.png,marina_07.png,marina_08.png,marina_09.png,marina_10.png,tamar_01.png,tamar_02.png,tamar_03.png,tamar_04.png,tamar_05.png,tamar_06.png,tamar_07.png,tamar_08.png,tamar_09.png,tamar_10.png
marina_01.png,0.0,288.002,194.064,362.022,570.996,195.023,209.323,479.067,179.914,476.642,300.533,136.059,92.0,567.022,642.112,222.002,380.312,163.083,88.006,651.891
marina_02.png,288.002,0.0,94.085,74.061,298.304,483.017,459.518,191.128,224.735,215.845,138.452,322.541,196.003,279.029,354.171,174.774,154.777,402.061,376.005,374.301
marina_03.png,194.064,94.085,0.0,168.003,386.353,389.082,373.664,285.016,166.09,297.431,159.239,243.074,102.122,373.0,448.055,140.036,215.258,317.076,282.064,464.738
marina_04.png,362.022,74.061,168.003,0.0,235.78,557.044,530.83,117.068,287.64,166.469,168.63,391.862,270.03,205.002,280.114,230.801,143.224,473.185,450.028,307.275
marina_05.png,570.996,298.304,386.353,235.78,0.0,761.663,702.285,158.028,443.113,98.02,288.062,560.032,481.867,135.447,166.012,379.021,202.2,646.028,656.793,83.006
marina_06.png,195.023,483.017,389.082,557.044,761.663,0.0,154.952,674.09,337.095,665.62,481.724,232.744,287.016,762.042,837.134,394.392,565.594,169.452,107.019,843.464
marina_07.png,209.323,459.518,373.664,530.83,702.285,154.952,0.0,644.662,259.193,604.268,414.237,142.688,281.325,729.653,804.48,323.396,500.121,57.723,159.891,785.281
marina_08.png,479.067,191.128,285.016,117.068,158.028,674.09,644.662,0.0,394.791,141.566,255.454,504.009,387.083,88.051,163.049,333.718,192.961,586.939,567.071,210.64
marina_09.png,179.914,224.735,166.09,287.64,443.113,337.095,259.193,394.791,0.0,345.093,155.052,117.068,141.566,476.593,550.404,64.281,241.002,203.039,244.381,526.115
marina_10.png,476.642,215.845,297.431,166.469,98.02,665.62,604.268,141.566,345.093,0.0,190.042,462.017,389.076,175.071,233.649,281.007,104.235,548.015,561.495,181.025
tamar_01.png,300.533,138.452,159.239,168.63,288.062,481.724,414.237,255.454,155.052,190.042,0.0,272.0,222.423,330.578,402.219,91.022,86.052,358.0,380.737,371.066
tamar_02.png,136.059,322.541,243.074,391.862,560.032,232.744,142.688,504.009,117.068,462.017,272.0,0.0,166.469,588.151,662.737,181.011,358.013,86.0,159.0,643.038
tamar_03.png,92.0,196.003,102.122,270.03,481.867,287.016,281.325,387.083,141.566,389.076,222.423,166.469,0.0,475.026,550.131,158.685,296.589,227.2,180.003,562.005
tamar_04.png,567.022,279.029,373.0,205.002,135.447,762.042,729.653,88.051,476.593,175.071,330.578,588.151,475.026,0.0,75.326,414.03,257.109,671.96,655.027,152.118
tamar_05.png,642.112,354.171,448.055,280.114,166.012,837.134,804.48,163.049,550.404,233.649,402.219,662.737,550.131,75.326,0.0,487.382,325.185,746.812,730.116,141.032
tamar_06.png,222.002,174.774,140.036,230.801,379.021,394.392,323.396,333.718,64.281,281.007,91.022,181.011,158.685,414.03,487.382,0.0,177.071,267.007,296.503,462.027
tamar_07.png,380.312,154.777,215.258,143.224,202.2,565.594,500.121,192.961,241.002,104.235,86.052,358.013,296.589,257.109,325.185,177.071,0.0,444.01,463.042,285.175
tamar_08.png,163.083,402.061,317.076,473.185,646.028,169.452,57.723,586.939,203.039,548.015,358.0,86.0,227.2,671.96,746.812,267.007,444.01,0.0,135.015,729.034
tamar_09.png,88.006,376.005,282.064,450.028,656.793,107.019,159.891,567.071,244.381,561.495,380.737,159.0,180.003,655.027,730.116,296.503,463.042,135.015,0.0,738.182
tamar_10.png,651.891,374.301,464.738,307.275,83.006,843.464,785.281,210.64,526.115,181.025,371.066,643.038,562.005,152.118,141.032,462.027,285.175,729.034,738.182,0.0
